ASXCode	TimeFrame	TimeIntervalStart	Open	High	Low	Close	Volume	FirstSale	LastSale	SaleValue	NumOfSale	AverageValuePerTransaction	VWAP	ObservationDate
ESMAIN.US	30M	2026-08-07 00:00:00	7729.2500	7732.2500	7725.5000	7730.5000	2493	NULL	NULL	NULL	1322	NULL	7729.125000	2026-08-07
ESMAIN.US	30M	2026-08-07 00:30:00	7730.7500	7733.5000	7729.0000	7731.5000	1517	NULL	NULL	NULL	767	NULL	7730.900000	2026-08-07
ESMAIN.US	30M	2026-08-07 01:00:00	7731.5000	7737.0000	7731.2500	7734.5000	2962	NULL	NULL	NULL	1311	NULL	7734.350000	2026-08-07
ESMAIN.US	30M	2026-08-07 01:30:00	7734.7500	7734.7500	7731.5000	7731.7500	1427	NULL	NULL	NULL	758	NULL	7733.125000	2026-08-07
ESMAIN.US	30M	2026-08-07 02:00:00	7731.7500	7740.0000	7731.7500	7739.7500	3912	NULL	NULL	NULL	1593	NULL	7736.775000	2026-08-07
ESMAIN.US	30M	2026-08-07 02:30:00	7739.7500	7739.7500	7734.2500	7738.0000	2390	NULL	NULL	NULL	1170	NULL	7736.500000	2026-08-07
ESMAIN.US	30M	2026-08-07 03:00:00	7738.0000	7742.7500	7736.0000	7741.5000	3871	NULL	NULL	NULL	2195	NULL	7739.550000	2026-08-07
ESMAIN.US	30M	2026-08-07 03:30:00	7741.7500	7743.7500	7738.2500	7740.2500	3979	NULL	NULL	NULL	1784	NULL	7740.600000	2026-08-07
ESMAIN.US	30M	2026-08-07 04:00:00	7740.5000	7746.5000	7740.2500	7744.0000	5651	NULL	NULL	NULL	2796	NULL	7743.950000	2026-08-07
ESMAIN.US	30M	2026-08-07 04:30:00	7744.2500	7747.2500	7742.0000	7745.2500	4209	NULL	NULL	NULL	2075	NULL	7744.500000	2026-08-07
ESMAIN.US	30M	2026-08-07 05:00:00	7745.5000	7749.5000	7744.2500	7746.7500	3273	NULL	NULL	NULL	1570	NULL	7746.725000	2026-08-07
ESMAIN.US	30M	2026-08-07 05:30:00	7747.0000	7748.7500	7745.5000	7745.7500	2862	NULL	NULL	NULL	1546	NULL	7746.950000	2026-08-07
ESMAIN.US	30M	2026-08-07 06:00:00	7746.0000	7747.2500	7744.0000	7747.0000	2695	NULL	NULL	NULL	1439	NULL	7745.750000	2026-08-07
ESMAIN.US	30M	2026-08-07 06:30:00	7747.0000	7749.5000	7744.7500	7746.5000	2669	NULL	NULL	NULL	1283	NULL	7747.325000	2026-08-07
ESMAIN.US	30M	2026-08-07 07:00:00	7746.2500	7754.7500	7746.2500	7753.5000	5657	NULL	NULL	NULL	2445	NULL	7750.925000	2026-08-07
ESMAIN.US	30M	2026-08-07 07:30:00	7753.5000	7756.7500	7748.2500	7748.7500	7624	NULL	NULL	NULL	3147	NULL	7753.575000	2026-08-07
ESMAIN.US	30M	2026-08-07 08:00:00	7748.5000	7759.5000	7747.2500	7757.0000	10718	NULL	NULL	NULL	4294	NULL	7753.975000	2026-08-07
ESMAIN.US	30M	2026-08-07 08:30:00	7756.5000	7778.7500	7754.5000	7774.7500	48160	NULL	NULL	NULL	17925	NULL	7771.150000	2026-08-07
ESMAIN.US	30M	2026-08-07 09:00:00	7774.7500	7776.0000	7753.2500	7757.2500	32071	NULL	NULL	NULL	11639	NULL	7762.350000	2026-08-07
ESMAIN.US	30M	2026-08-07 09:30:00	7757.2500	7770.7500	7751.7500	7758.0000	154962	NULL	NULL	NULL	60550	NULL	7760.225000	2026-08-07
ESMAIN.US	30M	2026-08-07 10:00:00	7758.0000	7780.5000	7743.5000	7779.5000	128626	NULL	NULL	NULL	50119	NULL	7758.650000	2026-08-07
ESMAIN.US	30M	2026-08-07 10:30:00	7779.2500	7781.2500	7764.5000	7776.2500	86841	NULL	NULL	NULL	34435	NULL	7771.300000	2026-08-07
ESMAIN.US	30M	2026-08-07 11:00:00	7776.2500	7786.7500	7771.2500	7784.2500	60879	NULL	NULL	NULL	21768	NULL	7778.550000	2026-08-07
ESMAIN.US	30M	2026-08-07 11:30:00	7784.0000	7786.7500	7775.5000	7778.0000	56130	NULL	NULL	NULL	19176	NULL	7781.225000	2026-08-07
ESMAIN.US	30M	2026-08-07 12:00:00	7778.0000	7781.2500	7760.7500	7764.7500	57408	NULL	NULL	NULL	21337	NULL	7773.325000	2026-08-07
ESMAIN.US	30M	2026-08-07 12:30:00	7764.7500	7776.2500	7757.7500	7767.0000	54634	NULL	NULL	NULL	20591	NULL	7767.950000	2026-08-07
ESMAIN.US	30M	2026-08-07 13:00:00	7767.0000	7771.7500	7764.2500	7768.2500	29003	NULL	NULL	NULL	10698	NULL	7768.400000	2026-08-07
ESMAIN.US	30M	2026-08-07 13:30:00	7768.2500	7772.2500	7764.5000	7768.7500	25951	NULL	NULL	NULL	9668	NULL	7768.950000	2026-08-07
ESMAIN.US	30M	2026-08-07 14:00:00	7768.7500	7770.2500	7761.7500	7762.0000	30009	NULL	NULL	NULL	10342	NULL	7765.450000	2026-08-07
ESMAIN.US	30M	2026-08-07 14:30:00	7762.2500	7765.5000	7756.0000	7764.5000	34947	NULL	NULL	NULL	11238	NULL	7760.625000	2026-08-07
ESMAIN.US	30M	2026-08-07 15:00:00	7764.5000	7782.5000	7763.7500	7778.2500	67884	NULL	NULL	NULL	21219	NULL	7774.700000	2026-08-07
ESMAIN.US	30M	2026-08-07 15:30:00	7778.5000	7785.5000	7772.7500	7778.2500	128180	NULL	NULL	NULL	29965	NULL	7778.450000	2026-08-07
ESMAIN.US	30M	2026-08-07 16:00:00	7778.2500	7781.2500	7773.0000	7773.2500	41226	NULL	NULL	NULL	9679	NULL	7777.375000	2026-08-07
ESMAIN.US	30M	2026-08-07 16:30:00	7773.2500	7779.5000	7773.0000	7777.2500	7319	NULL	NULL	NULL	1880	NULL	7776.325000	2026-08-07
ESMAIN.US	30M	2026-08-06 00:00:00	7763.5000	7765.0000	7759.5000	7763.7500	1587	NULL	NULL	NULL	890	NULL	7762.500000	2026-08-06
ESMAIN.US	30M	2026-08-06 00:30:00	7763.7500	7765.2500	7759.7500	7763.0000	1114	NULL	NULL	NULL	664	NULL	7762.050000	2026-08-06
ESMAIN.US	30M	2026-08-06 01:00:00	7763.0000	7765.5000	7761.2500	7763.7500	2315	NULL	NULL	NULL	1208	NULL	7763.600000	2026-08-06
ESMAIN.US	30M	2026-08-06 01:30:00	7763.7500	7765.2500	7760.5000	7765.0000	1567	NULL	NULL	NULL	891	NULL	7762.675000	2026-08-06
