ASXCode	TimeFrame	TimeIntervalStart	Open	High	Low	Close	Volume	FirstSale	LastSale	SaleValue	NumOfSale	AverageValuePerTransaction	VWAP	ObservationDate
NQMAIN.US	30M	2026-08-07 00:00:00	29488.7500	29516.7500	29453.5000	29508.2500	3769	NULL	NULL	NULL	2565	NULL	29489.825000	2026-08-07
NQMAIN.US	30M	2026-08-07 00:30:00	29508.2500	29526.0000	29489.2500	29511.5000	2061	NULL	NULL	NULL	1476	NULL	29505.075000	2026-08-07
NQMAIN.US	30M	2026-08-07 01:00:00	29510.7500	29556.7500	29507.5000	29549.2500	2921	NULL	NULL	NULL	1745	NULL	29539.975000	2026-08-07
NQMAIN.US	30M	2026-08-07 01:30:00	29547.7500	29550.0000	29519.7500	29523.5000	1280	NULL	NULL	NULL	1040	NULL	29532.850000	2026-08-07
NQMAIN.US	30M	2026-08-07 02:00:00	29523.5000	29583.5000	29520.0000	29580.5000	3870	NULL	NULL	NULL	2379	NULL	29557.375000	2026-08-07
NQMAIN.US	30M	2026-08-07 02:30:00	29580.2500	29583.5000	29537.7500	29553.0000	2297	NULL	NULL	NULL	1722	NULL	29553.350000	2026-08-07
NQMAIN.US	30M	2026-08-07 03:00:00	29552.0000	29592.5000	29533.0000	29587.7500	3233	NULL	NULL	NULL	2226	NULL	29570.125000	2026-08-07
NQMAIN.US	30M	2026-08-07 03:30:00	29588.7500	29591.0000	29561.2500	29583.7500	1856	NULL	NULL	NULL	1419	NULL	29578.600000	2026-08-07
NQMAIN.US	30M	2026-08-07 04:00:00	29584.2500	29629.7500	29584.0000	29623.7500	3711	NULL	NULL	NULL	2846	NULL	29610.200000	2026-08-07
NQMAIN.US	30M	2026-08-07 04:30:00	29623.5000	29647.2500	29609.2500	29632.5000	3812	NULL	NULL	NULL	2765	NULL	29625.950000	2026-08-07
NQMAIN.US	30M	2026-08-07 05:00:00	29633.5000	29649.0000	29624.7500	29634.5000	2050	NULL	NULL	NULL	1590	NULL	29637.475000	2026-08-07
NQMAIN.US	30M	2026-08-07 05:30:00	29634.5000	29647.0000	29616.0000	29616.5000	1430	NULL	NULL	NULL	1124	NULL	29629.350000	2026-08-07
NQMAIN.US	30M	2026-08-07 06:00:00	29618.2500	29628.0000	29591.2500	29621.2500	1956	NULL	NULL	NULL	1506	NULL	29611.575000	2026-08-07
NQMAIN.US	30M	2026-08-07 06:30:00	29621.5000	29625.2500	29602.2500	29607.2500	1411	NULL	NULL	NULL	1130	NULL	29613.775000	2026-08-07
NQMAIN.US	30M	2026-08-07 07:00:00	29606.5000	29666.2500	29606.2500	29654.0000	3050	NULL	NULL	NULL	2301	NULL	29641.575000	2026-08-07
NQMAIN.US	30M	2026-08-07 07:30:00	29652.2500	29673.2500	29604.2500	29614.0000	4270	NULL	NULL	NULL	3174	NULL	29644.000000	2026-08-07
NQMAIN.US	30M	2026-08-07 08:00:00	29614.5000	29686.0000	29604.7500	29683.5000	5887	NULL	NULL	NULL	4400	NULL	29653.475000	2026-08-07
NQMAIN.US	30M	2026-08-07 08:30:00	29676.2500	29867.7500	29643.7500	29843.2500	22104	NULL	NULL	NULL	16145	NULL	29794.500000	2026-08-07
NQMAIN.US	30M	2026-08-07 09:00:00	29843.7500	29850.5000	29685.0000	29714.7500	18693	NULL	NULL	NULL	13783	NULL	29752.375000	2026-08-07
