ObservationDate,ObservationDateUS_EST_0500,Ticker,BC_GEXDeltaPerc,Signal,SignalColor,Close,VWAP,CloseChangePct,PutCallRatio,PCRChangePct,TotalAbsGEXDelta,DailyBCAbsGEXDelta,DailyBPAbsGEXDelta,DailySCAbsGEXDelta,DailySPAbsGEXDelta
2026-01-02,2026-01-02 05:00:00,SPXW,48.93,,,6858.4702,,,0.98149800,,71695.0000000000,35079.0000000000,34430.0000000000,1015.0000000000,1171.0000000000
2026-01-05,2026-01-05 05:00:00,SPXW,47.83,,,6902.0498,,0.635,1.02117900,4.043,85681.0000000000,40983.0000000000,41851.0000000000,1905.0000000000,942.0000000000
2026-01-06,2026-01-06 05:00:00,SPXW,56.97,,,6944.8198,,0.620,0.71827400,-29.662,111880.0000000000,63743.0000000000,45785.0000000000,1683.0000000000,669.0000000000
2026-01-07,2026-01-07 05:00:00,SPXW,40.29,,,6920.9302,,-0.344,1.36976200,90.702,78005.0000000000,31431.0000000000,43053.0000000000,2476.0000000000,1045.0000000000
2026-01-08,2026-01-08 05:00:00,SPXW,48.41,BULLISH,#84cc16,6921.4600,,0.008,0.88857500,-35.129,54875.0000000000,26565.0000000000,23605.0000000000,2240.0000000000,2465.0000000000
2026-01-09,2026-01-09 05:00:00,SPXW,52.59,,,6966.2798,,0.648,0.83101100,-6.478,96641.0000000000,50826.0000000000,42237.0000000000,2800.0000000000,778.0000000000
2026-01-12,2026-01-12 05:00:00,SPXW,46.96,BEARISH,#fde047,6977.2700,,0.158,1.01230800,21.816,82345.0000000000,38672.0000000000,39148.0000000000,2293.0000000000,2232.0000000000
2026-01-13,2026-01-13 05:00:00,SPXW,41.43,,,6963.7402,,-0.194,1.31837400,30.234,73636.0000000000,30505.0000000000,40217.0000000000,1688.0000000000,1226.0000000000
2026-01-14,2026-01-14 05:00:00,SPXW,45.59,BULLISH,#84cc16,6926.6001,,-0.533,1.08303500,-17.851,69268.0000000000,31577.0000000000,34199.0000000000,1328.0000000000,2164.0000000000
2026-01-15,2026-01-15 05:00:00,SPXW,39.43,BEARISH,#fde047,6944.4702,,0.258,1.34181100,23.894,73489.0000000000,28975.0000000000,38879.0000000000,1543.0000000000,4092.0000000000
