signal_code,market_date,direction,triggered,status,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,mfe_pct,mae_pct,benchmark,benchmark_directional_return_pct,directional_excess_vs_benchmark_pct,source_revision,source_hash
VST_DOUBLE_DOWN_CONTINUATION_D1,2026-05-11,SHORT,True,FINAL,2026-05-12T07:30:00-04:00,150.5,2026-05-12T16:00:00-04:00,146.86,D1_REGULAR_SESSION_CLOSE,2.41860465,3.21594684,-0.63787375,QQQ,-0.02262923,2.44123389,02e2594e338ec1f5a90b9cd2b529a089ae103845b1814ccd637a9682d1aea1ea,576ce3c01f316c17f4a4c4b6fdcc1ebc015e16f2a62b676e7bda79751219ef8d
VST_DOUBLE_DOWN_CONTINUATION_D1,2026-05-13,SHORT,True,FINAL,2026-05-14T07:30:00-04:00,142.46,2026-05-14T16:00:00-04:00,141.88,D1_REGULAR_SESSION_CLOSE,0.40713183,1.78295662,-0.65983434,QQQ,-0.55747279,0.96460462,80727ae72a746f56bb48b386dca705b091fcbf51cd1a8a45e705dbfc4667d588,576ce3c01f316c17f4a4c4b6fdcc1ebc015e16f2a62b676e7bda79751219ef8d
VST_DOUBLE_DOWN_CONTINUATION_D1,2026-05-14,SHORT,True,FINAL,2026-05-15T07:30:00-04:00,139.9,2026-05-15T16:00:00-04:00,139.67,D1_REGULAR_SESSION_CLOSE,0.16440315,1.49392423,-0.85060758,QQQ,0.28133352,-0.11693038,b9917d59eafdc6e771096c8ae933efa668650e2f7268ecc0f5616d12cb568de7,576ce3c01f316c17f4a4c4b6fdcc1ebc015e16f2a62b676e7bda79751219ef8d
VST_DOUBLE_DOWN_CONTINUATION_D1,2026-05-18,SHORT,True,FINAL,2026-05-19T07:30:00-04:00,136.0,2026-05-19T16:00:00-04:00,134.71,D1_REGULAR_SESSION_CLOSE,0.94852941,2.45588235,-0.51470588,QQQ,-0.00712769,0.9556571,96efdf63b047bd3e9abb5d1ae367337d9c78ec29d892317686df017cb2e62090,576ce3c01f316c17f4a4c4b6fdcc1ebc015e16f2a62b676e7bda79751219ef8d
VST_DOUBLE_DOWN_CONTINUATION_D1,2026-06-08,SHORT,True,FINAL,2026-06-09T07:30:00-04:00,148.22,2026-06-09T16:00:00-04:00,146.17,D1_REGULAR_SESSION_CLOSE,1.38307921,4.5068142,-1.40331939,QQQ,1.93666362,-0.55358441,f9be0da574a32e9bb71252cec8f57a9c49cae4515dc0ef50b7ff9b139402b8a0,576ce3c01f316c17f4a4c4b6fdcc1ebc015e16f2a62b676e7bda79751219ef8d
VST_DOUBLE_DOWN_CONTINUATION_D1,2026-06-09,SHORT,True,FINAL,2026-06-10T07:30:00-04:00,144.0,2026-06-10T16:00:00-04:00,138.53,D1_REGULAR_SESSION_CLOSE,3.79861111,4.22916667,-1.74305556,QQQ,0.47772071,3.3208904,5682e8b3fef970b79445dba5447ee2f1678a3e0ab61fb6709bd8e49a170dc2fb,576ce3c01f316c17f4a4c4b6fdcc1ebc015e16f2a62b676e7bda79751219ef8d
VST_DOUBLE_DOWN_CONTINUATION_D1,2026-06-10,SHORT,True,FINAL,2026-06-11T07:30:00-04:00,141.44,2026-06-11T16:00:00-04:00,146.36,D1_REGULAR_SESSION_CLOSE,-3.47850679,1.32211538,-3.86029412,QQQ,-2.10497812,-1.37352866,43f568d989a8c14f1866f72c5be3e83cef002183eeeccf833d5a086939bdb1e1,576ce3c01f316c17f4a4c4b6fdcc1ebc015e16f2a62b676e7bda79751219ef8d
VST_DOUBLE_DOWN_CONTINUATION_D1,2026-07-01,SHORT,True,FINAL,2026-07-02T07:30:00-04:00,153.05,2026-07-02T16:00:00-04:00,151.02,D1_REGULAR_SESSION_CLOSE,1.32636393,2.97288468,-2.08428618,QQQ,1.52551507,-0.19915114,e2ceaef3a305bdca2b010e94a0d10cef2c6841d70464a39b3aa61e94c6da4510,576ce3c01f316c17f4a4c4b6fdcc1ebc015e16f2a62b676e7bda79751219ef8d
VST_DOUBLE_DOWN_CONTINUATION_D1,2026-07-08,SHORT,True,FINAL,2026-07-09T07:30:00-04:00,156.25,2026-07-09T16:00:00-04:00,157.99,D1_REGULAR_SESSION_CLOSE,-1.1136,0.16,-3.1552,QQQ,-1.02112086,-0.09247914,48d7decd1758bfe86ad3b99749d039d0a07178eecdac86c8ba699e102e702721,576ce3c01f316c17f4a4c4b6fdcc1ebc015e16f2a62b676e7bda79751219ef8d
VST_DOUBLE_DOWN_CONTINUATION_D1,2026-07-27,SHORT,True,FINAL,2026-07-28T07:30:00-04:00,154.0,2026-07-28T16:00:00-04:00,148.64,D1_REGULAR_SESSION_CLOSE,3.48051948,4.62337662,-0.64935065,QQQ,-0.42685638,3.90737586,935f1deb16e2ace93611f8a8d4e87f665e91b2f03ab4f15fb6a4b5c75dc99906,576ce3c01f316c17f4a4c4b6fdcc1ebc015e16f2a62b676e7bda79751219ef8d
