signal_code,market_date,direction,triggered,status,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,return_pct,mfe_pct,mae_pct,benchmark,benchmark_directional_return_pct,directional_excess_vs_benchmark_pct,source_revision,source_hash,base_signal_code,feature_tier,production_action,feature_confirmation,ORCL_GEXChange,ORCL_GEX_ZScore,QQQ_GEX_Trending_Up,QQQ_GEX_ZScore_60day,QQQ_Is_Potential_Swing_Up,QQQ_Price_Above_SMA20,QQQ_TodayChange
ORCL_FAILED_BULLISH_SUPPORT_HIGH,2025-10-20,SHORT,True,FINAL,2025-10-21T07:30:00-04:00,278.13,2025-10-22T16:00:00-04:00,272.7,D2_REGULAR_SESSION_CLOSE,1.95232445,3.19275159,-0.78021069,QQQ,1.03965737,0.91266708,28ea64ac5046f524d46af3c5ad0448e0f3d97b6280cecb16eb3016a683f2d5c3,5deb7941eddc6a75b90e6d3375c6ec98c75590bf553a0edda4a29d57d2f8966b,ORCL_FAILED_BULLISH_SUPPORT,HIGH,PLAN_ENTRY,ORCL.GEXChange < -10.0,-132.47,-1.3452223808440262,0,-0.3327741517085722,0,1,1.26
ORCL_FAILED_BULLISH_SUPPORT_STANDARD,2025-10-21,SHORT,True,FINAL,2025-10-22T07:30:00-04:00,274.5,2025-10-23T16:00:00-04:00,280.07,D2_REGULAR_SESSION_CLOSE,-2.0291439,1.91256831,-3.13296903,QQQ,-0.07374994,-1.95539396,5e318552b9ff857fdcdcc78bf0038ae6e1d1969007c5c3cc806baec729a904d0,5deb7941eddc6a75b90e6d3375c6ec98c75590bf553a0edda4a29d57d2f8966b,ORCL_FAILED_BULLISH_SUPPORT,STANDARD,PLAN_ENTRY,NOT(ORCL.GEXChange < -10.0),125.23,-1.4119718014340492,0,-1.0602895211921426,0,1,-0.03
ORCL_FAILED_BULLISH_SUPPORT_STANDARD,2025-10-28,SHORT,True,FINAL,2025-10-29T07:30:00-04:00,282.15,2025-10-30T16:00:00-04:00,256.89,D2_REGULAR_SESSION_CLOSE,8.95268474,9.1688818,-0.12759171,QQQ,1.59553564,7.3571491,c311ab295550a3eb24e950b9e7440d817388cf681ba664bc5920f0b084dfebc4,5deb7941eddc6a75b90e6d3375c6ec98c75590bf553a0edda4a29d57d2f8966b,ORCL_FAILED_BULLISH_SUPPORT,STANDARD,PLAN_ENTRY,NOT(ORCL.GEXChange < -10.0),107.18,-0.4763754469569793,1,0.9223441857272688,0,1,0.77
ORCL_FAILED_BULLISH_SUPPORT_HIGH,2025-11-10,SHORT,True,FINAL,2025-11-11T07:30:00-05:00,237.93,2025-11-12T16:00:00-05:00,226.99,D2_REGULAR_SESSION_CLOSE,4.59799101,4.94263019,-0.9750767,QQQ,-0.01610462,4.61409562,1c9f0fd998141aad2cf07f0c017440a22f6813c5cf1922699fd0e77cdc983387,5deb7941eddc6a75b90e6d3375c6ec98c75590bf553a0edda4a29d57d2f8966b,ORCL_FAILED_BULLISH_SUPPORT,HIGH,PLAN_ENTRY,ORCL.GEXChange < -10.0,-24.55,-0.8185608831805267,0,0.5674082551549298,0,1,2.21
ORCL_FAILED_BULLISH_SUPPORT_STANDARD,2025-11-12,SHORT,True,FINAL,2025-11-13T07:30:00-05:00,225.5,2025-11-14T16:00:00-05:00,222.85,D2_REGULAR_SESSION_CLOSE,1.1751663,6.53215078,-1.01995565,QQQ,1.79372197,-0.61855568,e6e8d8953ace8201e525361016337dc7f3ee214e14a4df4d45665cfbb90d9c5c,5deb7941eddc6a75b90e6d3375c6ec98c75590bf553a0edda4a29d57d2f8966b,ORCL_FAILED_BULLISH_SUPPORT,STANDARD,PLAN_ENTRY,NOT(ORCL.GEXChange < -10.0),38.94,-1.3912104688798523,0,0.5809791689021541,0,1,-0.08
ORCL_FAILED_BULLISH_SUPPORT_STANDARD,2025-11-13,SHORT,True,FINAL,2025-11-14T07:30:00-05:00,213.65,2025-11-17T16:00:00-05:00,219.83,D2_REGULAR_SESSION_CLOSE,-2.89258132,1.34799906,-6.27194009,QQQ,-0.50114047,-2.39144086,59229ff80561b23fdf237e51d8430efc3fb620b4798135260e40744762402f1e,5deb7941eddc6a75b90e6d3375c6ec98c75590bf553a0edda4a29d57d2f8966b,ORCL_FAILED_BULLISH_SUPPORT,STANDARD,PLAN_ENTRY,NOT(ORCL.GEXChange < -10.0),1.46,-1.325458996428453,1,-1.1963824908355032,0,0,-2.04
ORCL_FAILED_BULLISH_SUPPORT_HIGH,2025-11-21,SHORT,True,FINAL,2025-11-24T07:30:00-05:00,198.72,2025-11-25T16:00:00-05:00,196.99,D2_REGULAR_SESSION_CLOSE,0.87057166,6.58715781,-2.56642512,QQQ,-2.45318258,3.32375423,f0dd87c95ea821242360d3c7276199b2336eebbdc4a4f062c212bd489c03524d,5deb7941eddc6a75b90e6d3375c6ec98c75590bf553a0edda4a29d57d2f8966b,ORCL_FAILED_BULLISH_SUPPORT,HIGH,PLAN_ENTRY,ORCL.GEXChange < -10.0,-42.49,-0.4744475242757189,0,-0.4587392276467706,1,0,0.75
ORCL_FAILED_BULLISH_SUPPORT_STANDARD,2025-12-12,SHORT,True,FINAL,2025-12-15T07:30:00-05:00,187.91,2025-12-16T16:00:00-05:00,188.62,D2_REGULAR_SESSION_CLOSE,-0.37784046,3.46442446,-1.50071843,QQQ,0.77846254,-1.15630299,3591c62ed2408947a871eed4e9d3cbfd2a6efd6839219232af0c53f506f34e7f,5deb7941eddc6a75b90e6d3375c6ec98c75590bf553a0edda4a29d57d2f8966b,ORCL_FAILED_BULLISH_SUPPORT,STANDARD,PLAN_ENTRY,NOT(ORCL.GEXChange < -10.0),301.85,-0.683814808223124,1,0.1866821254123389,0,1,-1.91
ORCL_FAILED_BULLISH_SUPPORT_STANDARD,2025-12-17,SHORT,True,FINAL,2025-12-18T07:30:00-05:00,180.74,2025-12-19T16:00:00-05:00,192.32,D2_REGULAR_SESSION_CLOSE,-6.40699347,1.51045701,-7.95618015,QQQ,-1.93552649,-4.47146698,98d81aeb9f4158c1f1277e51df3279761c154a3dfc162fe924fa7ecfa76cb2ed,5deb7941eddc6a75b90e6d3375c6ec98c75590bf553a0edda4a29d57d2f8966b,ORCL_FAILED_BULLISH_SUPPORT,STANDARD,PLAN_ENTRY,NOT(ORCL.GEXChange < -10.0),7129.79,-1.6724643161306607,0,-0.6217266849058006,0,0,-1.85
ORCL_FAILED_BULLISH_SUPPORT_STANDARD,2025-12-30,SHORT,True,FINAL,2025-12-31T07:30:00-05:00,196.42,2026-01-02T16:00:00-05:00,195.69,D2_REGULAR_SESSION_CLOSE,0.37165258,1.63934426,-1.10986661,QQQ,0.84260577,-0.47095319,dfe7effeae3f8e82c0c4ce87c915300f102cc312a6d81bbdf6c67d73a224946f,5deb7941eddc6a75b90e6d3375c6ec98c75590bf553a0edda4a29d57d2f8966b,ORCL_FAILED_BULLISH_SUPPORT,STANDARD,PLAN_ENTRY,NOT(ORCL.GEXChange < -10.0),121.36,0.5438095187028721,1,-0.2330404517746196,0,1,-0.23
