signal_code,market_date,direction,portfolio_decision,candidate_outcome_status,entry_time,entry_price,entry_type,exit_time,exit_price,exit_reason,return_pct,mfe_pct,mae_pct,blocking_signal,blocking_market_date,source_revision,base_signal_code,feature_tier,production_action,SPXW_GEX_Trending_Up,SPXW_GEX_Falling,QQQ_GEX_Above_SMA20,SPXW_Price_Above_SMA50,QQQ_MACD_Positive
REVERSAL_GREEN_WEAK,2025-03-06,LONG,WATCH_ONLY,CLOSED,2025-03-07T10:30:00-05:00,19487.46137715785,DIP_LIMIT,2025-03-13T15:30:00-04:00,18783.866090780823,D5_CASH_CLOSE,-0.036105025316522,0.0157590678825481,0.041672722165454,,,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,WEAK,WATCH,0.0,0.0,0.0,0.0,0.0
RELIABLE_YELLOW,2025-03-07,SHORT,TRADED,CLOSED,2025-03-10T03:30:00-04:00,19609.1706952518,D1_0330_OPEN,2025-03-10T04:30:00-04:00,19530.73401247079,TP,0.004,0.0073272376687191,0.001530136219444,,,a85b8b7c0683b5fc-385be7c794fe3cdc,RELIABLE_YELLOW,BASE,PLAN_ENTRY,,,,,
REVERSAL_GREEN_HIGH,2025-03-11,LONG,TRADED,CLOSED,2025-03-13T13:00:00-04:00,18754.74654664843,DIP_LIMIT,2025-03-18T15:30:00-04:00,19025.715336157675,D5_CASH_CLOSE,0.0144480112719875,0.0382053348217254,0.0027329350654447,,,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,HIGH,PLAN_ENTRY,0.0,1.0,0.0,0.0,0.0
REVERSAL_GREEN_WEAK,2025-03-13,LONG,WATCH_ONLY,CLOSED,2025-03-18T03:30:00-04:00,19294.114897893254,D3_FALLBACK,2025-03-20T15:30:00-04:00,19194.913261316527,D5_CASH_CLOSE,-0.0051415489698136,0.0079437557076198,0.0190149742922551,,,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,WEAK,WATCH,0.0,0.0,0.0,0.0,0.0
STRONG_YELLOW,2025-03-14,SHORT,SKIPPED_EXISTING_POSITION,CLOSED,2025-03-17T03:30:00-04:00,19102.469887085656,D1_0330_OPEN,2025-03-17T08:30:00-04:00,19293.494585956512,SL,-0.01,0.0010360992128173,0.0102093678531266,REVERSAL_GREEN_HIGH,2025-03-11,a85b8b7c0683b5fc-385be7c794fe3cdc,STRONG_YELLOW,BASE,PLAN_ENTRY,,,,,
NORMAL_GREEN,2025-03-18,LONG,TRADED,CLOSED,2025-03-21T03:30:00-04:00,19169.08704449485,D3_0330_OPEN,2025-03-24T10:30:00-04:00,19648.31422060722,TP,0.0249999999999999,0.0254221282060967,0.0127173598257344,,,a85b8b7c0683b5fc-385be7c794fe3cdc,NORMAL_GREEN,BASE,PLAN_ENTRY,,,,,
NORMAL_GREEN,2025-03-21,LONG,SKIPPED_EXISTING_POSITION,CLOSED,2025-03-26T03:30:00-04:00,19782.399352381643,D3_0330_OPEN,2025-03-28T15:30:00-04:00,18789.417520564926,D5_CASH_CLOSE,-0.0501952171791117,0.0004026354319179,0.0521473889702294,RELIABLE_YELLOW,2025-03-25,a85b8b7c0683b5fc-385be7c794fe3cdc,NORMAL_GREEN,BASE,PLAN_ENTRY,,,,,
RELIABLE_YELLOW,2025-03-24,SHORT,TRADED,CLOSED,2025-03-25T03:30:00-04:00,19655.199200372062,D1_0330_OPEN,2025-03-25T16:30:00-04:00,19812.44079397504,SL,-0.0079999999999999,0.0032050888460452,0.008178502572667,,,a85b8b7c0683b5fc-385be7c794fe3cdc,RELIABLE_YELLOW,BASE,PLAN_ENTRY,,,,,
RELIABLE_YELLOW,2025-03-25,SHORT,TRADED,CLOSED,2025-03-26T03:30:00-04:00,19782.399352381643,D1_0330_OPEN,2025-03-26T09:30:00-04:00,19703.26975497212,TP,0.0039999999999999,0.0089799902391409,0.0004026354319179,,,a85b8b7c0683b5fc-385be7c794fe3cdc,RELIABLE_YELLOW,BASE,PLAN_ENTRY,,,,,
NORMAL_GREEN,2025-03-27,LONG,TRADED,CLOSED,2025-04-01T03:30:00-04:00,18746.93701439095,D3_0330_OPEN,2025-04-02T16:00:00-04:00,19215.61043975072,TP,0.0249999999999999,0.032277584653019,0.0080468649414189,,,a85b8b7c0683b5fc-385be7c794fe3cdc,NORMAL_GREEN,BASE,PLAN_ENTRY,,,,,
STRONG_YELLOW,2025-04-02,SHORT,TRADED,CLOSED,2025-04-03T03:30:00-04:00,18437.26377904315,D1_0330_OPEN,2025-04-03T08:30:00-04:00,18289.765668810807,TP,0.0079999999999999,0.0131828714310025,0.004202285729247,,,a85b8b7c0683b5fc-385be7c794fe3cdc,STRONG_YELLOW,BASE,PLAN_ENTRY,,,,,
REVERSAL_GREEN_HIGH,2025-04-03,LONG,TRADED,CLOSED,2025-04-04T06:00:00-04:00,17806.527222629655,DIP_LIMIT,2025-04-10T15:30:00-04:00,17844.226258193936,D5_CASH_CLOSE,0.0021171469929504,0.0511453861471977,0.107542364966646,,,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,HIGH,PLAN_ENTRY,0.0,1.0,0.0,0.0,0.0
REVERSAL_GREEN_WEAK,2025-04-04,LONG,WATCH_ONLY,CLOSED,2025-04-09T03:30:00-04:00,16661.530347668435,D3_FALLBACK,2025-04-11T15:30:00-04:00,18159.93365635054,D5_CASH_CLOSE,0.0899319136607272,0.1233811386353758,0.0225988700564972,,,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,WEAK,WATCH,0.0,0.0,0.0,0.0,0.0
RELIABLE_YELLOW,2025-04-14,SHORT,TRADED,CLOSED,2025-04-15T03:30:00-04:00,18346.751336911097,D1_0330_OPEN,2025-04-15T07:30:00-04:00,18273.36433156345,TP,0.004,0.0069857390938273,0.001973372625375,,,a85b8b7c0683b5fc-385be7c794fe3cdc,RELIABLE_YELLOW,BASE,PLAN_ENTRY,,,,,
REVERSAL_GREEN_HIGH,2025-04-16,LONG,TRADED,CLOSED,2025-04-17T09:30:00-04:00,17817.51905360217,DIP_LIMIT,2025-04-24T15:30:00-04:00,18652.32134154891,D5_CASH_CLOSE,0.0468528915521473,0.0478688853261374,0.0409018773532955,,,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,HIGH,PLAN_ENTRY,1.0,1.0,0.0,0.0,0.0
REVERSAL_GREEN_HIGH,2025-04-21,LONG,SKIPPED_EXISTING_POSITION,CLOSED,2025-04-24T03:30:00-04:00,18056.38742255147,D3_FALLBACK,2025-04-28T15:30:00-04:00,18850.241881677663,D5_CASH_CLOSE,0.0439652982929859,0.0492320442727478,0.0057479715007552,REVERSAL_GREEN_HIGH,2025-04-16,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,HIGH,PLAN_ENTRY,1.0,1.0,0.0,0.0,0.0
NORMAL_GREEN,2025-05-06,LONG,TRADED,CLOSED,2025-05-09T03:30:00-04:00,19500.24189944199,D3_0330_OPEN,2025-05-12T03:00:00-04:00,19987.74794692804,TP,0.0249999999999999,0.0362911710462799,0.0069190875221249,,,a85b8b7c0683b5fc-385be7c794fe3cdc,NORMAL_GREEN,BASE,PLAN_ENTRY,,,,,
REVERSAL_GREEN_HIGH,2025-05-09,LONG,TRADED,CLOSED,2025-05-12T10:30:00-04:00,19990.0783406048,DIP_LIMIT,2025-05-16T15:30:00-04:00,20762.588759043698,D5_CASH_CLOSE,0.0386446918954661,0.039827974812495,0.0007296508844496,,,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,HIGH,PLAN_ENTRY,1.0,0.0,1.0,1.0,1.0
REVERSAL_GREEN_HIGH,2025-05-22,LONG,TRADED,CLOSED,2025-05-23T07:30:00-04:00,20275.38804019577,DIP_LIMIT,2025-05-30T15:30:00-04:00,20631.52674283648,D5_CASH_CLOSE,0.0175650745590993,0.0408620030191961,0.0130292566327497,,,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,HIGH,PLAN_ENTRY,0.0,1.0,0.0,1.0,1.0
REVERSAL_GREEN_STANDARD,2025-05-23,LONG,SKIPPED_EXISTING_POSITION,CLOSED,2025-05-29T03:30:00-04:00,21039.91888173631,D3_FALLBACK,2025-06-02T15:30:00-04:00,20790.345907964194,D5_CASH_CLOSE,-0.0118618790868417,0.0030400367098771,0.0330847768727773,REVERSAL_GREEN_HIGH,2025-05-22,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,STANDARD,PLAN_ENTRY,0.0,0.0,0.0,1.0,1.0
REVERSAL_GREEN_HIGH,2025-05-28,LONG,SKIPPED_EXISTING_POSITION,CLOSED,2025-05-29T09:30:00-04:00,20829.519692918948,DIP_LIMIT,2025-06-04T15:30:00-04:00,21005.886203494654,D5_CASH_CLOSE,0.0084671424581943,0.0105876940797209,0.0233179564371488,REVERSAL_GREEN_HIGH,2025-05-22,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,HIGH,PLAN_ENTRY,0.0,0.0,1.0,1.0,1.0
NORMAL_GREEN,2025-06-09,LONG,TRADED,CLOSED,2025-06-12T03:30:00-04:00,21082.399387910285,D3_0330_OPEN,2025-06-16T15:30:00-04:00,21191.02174138438,D5_CASH_CLOSE,0.0051522766206764,0.0072486338033514,0.016763154683613,,,a85b8b7c0683b5fc-385be7c794fe3cdc,NORMAL_GREEN,BASE,PLAN_ENTRY,,,,,
REVERSAL_GREEN_HIGH,2025-06-13,LONG,SKIPPED_EXISTING_POSITION,CLOSED,2025-06-18T03:30:00-04:00,21036.93215001551,D3_FALLBACK,2025-06-23T15:30:00-04:00,21093.073318963856,D5_CASH_CLOSE,0.002668695632424,0.0052692543550842,0.0203388675645596,NORMAL_GREEN,2025-06-09,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,HIGH,PLAN_ENTRY,1.0,0.0,0.0,1.0,1.0
REVERSAL_GREEN_HIGH,2025-06-17,LONG,TRADED,CLOSED,2025-06-18T21:00:00-04:00,20826.562828515354,DIP_LIMIT,2025-06-25T15:30:00-04:00,21465.51622275311,D5_CASH_CLOSE,0.0306797333529713,0.0345912966912762,0.0104433005702623,,,a85b8b7c0683b5fc-385be7c794fe3cdc,REVERSAL_GREEN,HIGH,PLAN_ENTRY,0.0,0.0,1.0,1.0,1.0
