ticker,directory,strategy_code,signal_code,direction,holding_period,trigger,resolved_instances,wins,win_rate_pct,avg_return_pct,profit_factor,profit_factor_infinite,unresolved
ADBE,ADBE_ADBE_OPTION_ACTIVITY_REBOUND,GEX_ADBE_OPTION_ACTIVITY_REBOUND,ADBE_OPTION_ACTIVITY_REBOUND,LONG,D5,BPOptionCount_Rank60 <= 0.70 AND TotalOptionCount_Rank60 <= 0.70,43,35,81.3953488372093,4.071100161025188,5.268348626518753,False,2
CRWD,CRWD_CRWD_CONTROLLED_SC_ACTIVITY_LONG,GEX_CRWD_CONTROLLED_SC_LONG,CRWD_CONTROLLED_SC_ACTIVITY_LONG,LONG,D1,SCOptionCountChg_Rank60 <= 0.80 AND Prev2DaysChange >= -1.0,32,26,81.25,1.5849836875643,7.10302838282273,False,0
GDX,GDX_GDX_GEX_VOL_WEAK_NASDAQ_REVERSAL,GEX_GDX_VOL_NASDAQ_REVERSAL,GDX_GEX_VOL_WEAK_NASDAQ_REVERSAL,LONG,D5,SafeGEXVolRank60 >= 0.40 AND NASDAQ_chg5 <= -1.0,46,40,86.95652173913044,4.990483724248679,22.518628373420615,False,0
IWM,IWM_IWM_HIGH_GEX_VOL_REGIME_LONG,GEX_IWM_CROSS_GEX_VOL_REVERSAL,IWM_HIGH_GEX_VOL_REGIME_LONG,LONG,D5,SafeGEXVolRank60 >= 0.60 AND SPY_SafeGEXVolRank60 >= 0.65,45,41,91.11111111111111,2.2194695780829465,37.90648588971026,False,2
BABA,BABA_BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,GEX_BABA_WEAK_CALL_EXHAUSTION,BABA_BULL_TREND_WEAK_CALL_EXHAUSTION,SHORT,D5,Price_SMA20 > Price_SMA50 AND BuyCall_GEXDeltaPerc_Rank60 <= 0.80,59,51,86.44067796610169,3.7356086073839627,8.334078375290384,False,2
ORCL,ORCL_ORCL_PUT_FLOW_ROTATION_BREAKDOWN,GEX_ORCL_PUT_FLOW_ROTATION,ORCL_PUT_FLOW_ROTATION_BREAKDOWN,SHORT,D3,PutBuyShareChgAbsRank60 >= 0.65 AND BuyCall_GEXDeltaPerc_Rank60 <= 0.48,39,31,79.48717948717949,3.4181679772144142,8.837906000057492,False,0
QCOM,QCOM_QCOM_COMPRESSION_STABLE_FLOW_FADE,GEX_QCOM_COMPRESSION_FLOW_FADE,QCOM_COMPRESSION_STABLE_FLOW_FADE,SHORT,D1,BB_Bandwidth <= 0.346 AND BullShareChgAbsRank60 <= 0.65,27,23,85.18518518518519,1.868731938168777,6.53582558667377,False,0
AAPL,AAPL_AAPL_CALL_BUY_LEADERSHIP,GEX_AAPL_CALL_BUY_LEADERSHIP,AAPL_CALL_BUY_LEADERSHIP,LONG,D3,BCShareRank60 >= 0.65 AND QQQ_TodayChange > 0,43,35,81.3953488372093,0.9898763372696321,4.458271065525551,False,1
DIA,DIA_DIA_GEX_WASHOUT_REVERSAL,GEX_DIA_WASHOUT_REVERSAL,DIA_GEX_WASHOUT_REVERSAL,LONG,D5,GEX_ZScore < -1.0,41,31,75.60975609756098,0.920261321349153,5.0183388408072815,False,1
GLD,GLD_GLD_HIGH_GEX_TREND_CONTINUATION,GEX_GLD_HIGH_GEX_TREND,GLD_HIGH_GEX_TREND_CONTINUATION,LONG,D2,GEX > GEX_SMA20 AND RSI > 65,45,33,73.33333333333333,0.9396880823692293,5.01709684584444,False,1
INTC,INTC_INTC_PUT_PARTICIPATION_VOL_BREAKDOWN,GEX_INTC_PUT_VOL_BREAKDOWN,INTC_PUT_PARTICIPATION_VOL_BREAKDOWN,SHORT,D5,BPOptionShare >= 0.31 AND BB_Bandwidth >= 0.253,46,32,69.56521739130434,5.5467604756032785,5.443231096641715,False,4
XLE,XLE_XLE_GEX_REGIME_ENERGY_REBOUND,GEX_XLE_GEX_REGIME_REBOUND,XLE_GEX_REGIME_ENERGY_REBOUND,LONG,D5,QQQ_SafeGEXVolRank60 <= 0.60 AND GEX_ZScore_60day > 0,71,56,78.87323943661971,1.7079409596088035,3.8520729701463563,False,0
PANW,PANW_PANW_PCR_VOLATILITY_REBOUND,GEX_PANW_PCR_VOL_REBOUND,PANW_PCR_VOLATILITY_REBOUND,LONG,D5,ABS(PCRChangePct) >= 10.0 AND QQQ_BB_Bandwidth >= 0.07,48,37,77.08333333333333,5.43895451594015,5.0771604061181375,False,4
TLT,TLT_TLT_SELL_CALL_TREND_EXHAUSTION,GEX_TLT_SELL_CALL_EXHAUSTION,TLT_SELL_CALL_TREND_EXHAUSTION,SHORT,D5,PriceDistSMA50Pct >= -1.0 AND SCShareChgRank60 >= 0.60,35,28,80.0,0.6914025980927495,5.981568792056229,False,1
TXN,TXN_TXN_SELL_CALL_MACRO_BREAKDOWN,GEX_TXN_SELL_CALL_MACRO,TXN_SELL_CALL_MACRO_BREAKDOWN,SHORT,D5,SCShare >= 0.0284 AND QQQ_BuyCall_GEXDeltaPerc_Rank60 <= 0.65 AND Gold_chg5 >= -1.0,19,18,94.73684210526316,3.5492667262412096,40.53171871248264,False,1
COHR,COHR_COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,GEX_COHR_SC_INTRADAY_EXHAUSTION,COHR_CONTROLLED_SC_INTRADAY_EXHAUSTION,SHORT,D5,SCShareRank60 <= 0.60 AND PX_WholeDayRet >= -4.0 AND PX_RTHRet >= -2.5,21,21,100.0,11.52406899309868,,True,3
