|   Rank | Stock    | Strategy                              | Trade    | Exit |      N |       Win | Avg return |        PF | First/second half |    Score |
| -----: | -------- | ------------------------------------- | -------- | ---- | -----: | --------: | ---------: | --------: | ----------------: | -------: |
|  **1** | **MU**   | **Down-Day Intent Reversal**          | 🟢 LONG  | D5   | **45** | **73.3%** | **+5.58%** |      3.51 |      77.3 / 69.6% | **82.4** |
|  **2** | **ORCL** | **Failed Bullish Support Below VWAP** | 🔴 SHORT | D2   | **33** | **81.8%** | **+2.47%** |      5.84 |      75.0 / 88.2% | **79.9** |
|  **3** | **TSLA** | **Bearish Rally Divergence**          | 🔴 SHORT | D3   | **31** | **77.4%** | **+1.75%** |      3.38 |      73.3 / 81.2% | **75.8** |
|  **4** | **ORCL** | Crowded Bullish Positioning Fade      | 🔴 SHORT | D5   | **62** |     62.9% | **+2.43%** |      2.00 |      58.1 / 67.7% | **73.4** |
|  **5** | **AMD**  | **Sell-Put Supported Strength**       | 🟢 LONG  | D3   |     18 | **88.9%** | **+4.12%** | **16.16** |  **88.9 / 88.9%** | **73.1** |
|  **6** | **ORCL** | **BP-Share Surge Breakdown**          | 🔴 SHORT | D5   |     21 | **85.7%** | **+5.80%** |      4.84 |      90.0 / 81.8% | **73.0** |
|  **7** | **VST**  | Call-Buy Share Collapse Squeeze       | 🟢 LONG  | D1   |     10 |  **100%** |     +0.92% |         ∞ |        100 / 100% | **70.1** |
|  **8** | **SPY**  | Low-SP Momentum Long                  | 🟢 LONG  | D1   |     22 | **77.3%** |     +0.44% |      6.49 |      81.8 / 72.7% | **70.0** |
|  **9** | **META** | **Strong Bearish Continuation**       | 🔴 SHORT | D1   |     15 | **86.7%** | **+1.25%** | **12.24** |  **85.7 / 87.5%** | **69.0** |
| **10** | **AMD**  | **Strong Fear-Expansion Reversal**    | 🟢 LONG  | D5   |     17 | **88.2%** | **+6.32%** | **27.30** |       75.0 / 100% | **68.1** |
| **11** | **SPY**  | High-GEX Defensive Squeeze            | 🟢 LONG  | D5   |     22 |     77.3% |     +1.07% |      5.75 |      72.7 / 81.8% | **67.8** |
| **12** | **PLTR** | **Small-Dip Fear Continuation**       | 🔴 SHORT | D2   |     13 | **92.3%** | **+3.63%** |      9.60 |       100 / 85.7% | **67.7** |
| **13** | **AMZN** | **BP-Share Shock Rebound**            | 🟢 LONG  | D5   |     19 |     78.9% | **+3.01%** | **10.13** |      77.8 / 80.0% | **67.6** |
| **14** | **MU**   | Call-Washout in Uptrend               | 🟢 LONG  | D2   |     17 |     82.4% | **+3.91%** |      6.76 |      75.0 / 88.9% | **67.1** |
| **15** | **AVGO** | Bullish-Intent Rally Exhaustion       | 🔴 SHORT | D5   | **52** |     67.3% |     +0.94% |      1.46 |      73.1 / 61.5% | **66.5** |
| **16** | **SPY**  | Fear-Expansion Reversal               | 🟢 LONG  | D2   |     18 | **83.3%** |     +0.69% |      4.64 |      77.8 / 88.9% | **66.5** |
| **17** | **MU**   | **Fear-Shock Reversal**               | 🟢 LONG  | D5   |     16 | **81.2%** | **+9.21%** | **10.85** |      75.0 / 87.5% | **65.9** |
| **18** | **PLTR** | Small-Rally Bullish Confirmation      | 🟢 LONG  | D1   |     16 | **81.2%** |     +1.40% |      7.47 |      75.0 / 87.5% | **65.9** |
| **19** | **MSFT** | **Strong Bearish Continuation**       | 🔴 SHORT | D1   |     19 | **78.9%** |     +0.73% |      3.96 |  **77.8 / 80.0%** | **65.7** |
| **20** | **AVGO** | Below-VWAP Bullish Dip Buy            | 🟢 LONG  | D5   |     22 | **77.3%** | **+2.74%** |      3.62 |      81.8 / 72.7% | **65.5** |
| **21** | **ADBE** | Concentrated Bullish Regime           | 🟢 LONG  | D5   |     16 | **81.2%** | **+3.66%** |      4.68 |      75.0 / 87.5% | **65.4** |
| **22** | **SPY**  | Down-Day PCR Fear Reversal            | 🟢 LONG  | D2   | **25** | **80.0%** |     +0.48% |      2.90 |      66.7 / 92.3% | **65.2** |
| **23** | **VST**  | Uptrend Bear-Intent Squeeze           | 🟢 LONG  | D2   |     12 | **91.7%** |     +2.43% | **19.81** |       100 / 83.3% | **65.1** |
| **24** | **AMD**  | Bullish-Position Dip Buy              | 🟢 LONG  | D5   |     17 | **82.4%** | **+4.60%** |      3.75 |      75.0 / 88.9% | **65.1** |
| **25** | **DIS**  | High-GEX Dip Fear Reversal            | 🟢 LONG  | D3   |     19 | **78.9%** |     +1.23% |      4.02 |  **77.8 / 80.0%** | **65.0** |
| **26** | **GDX**  | Call-Buy Share Surge                  | 🟢 LONG  | D5   | **27** |     70.4% | **+2.50%** |      2.40 |  **69.2 / 71.4%** | **64.2** |
| **27** | **GOOG** | Down-Day BP Shock Reversal            | 🟢 LONG  | D1   |     15 | **80.0%** |     +0.88% |         — |      85.7 / 75.0% | **64.1** |
| **28** | **PLTR** | Bullish Dip Absorption                | 🟢 LONG  | D3   | **31** |     67.7% | **+2.94%** |      3.06 |      53.3 / 81.2% | **63.8** |
| **29** | **VST**  | Double-Down D5 Reversal               | 🟢 LONG  | D5   |     11 | **90.9%** | **+5.57%** | **17.05** |       100 / 83.3% | **62.5** |
| **30** | **TSLA** | Failed Put-Sell Support               | 🔴 SHORT | D3   | **24** | **79.2%** |     +1.17% |      2.44 |      83.3 / 75.0% | **62.3** |
