Date,Fear_Greed_Score,Fear_Greed_Score_Rating,SPX_Close
2020-09-14,50.0,neutral,3383.54
2020-09-15,50.0,neutral,3401.2
2020-09-16,50.0,neutral,3385.49
2020-09-17,50.0,neutral,3357.01
2020-09-18,50.0,neutral,3319.47
2020-09-21,50.0,neutral,3281.06
2020-09-22,50.0,neutral,3315.57
2020-09-23,50.0,neutral,3236.92
2020-09-24,50.0,neutral,3246.59
2020-09-25,50.0,neutral,3298.46
2020-09-28,50.0,neutral,3351.6
2020-09-29,50.0,neutral,3335.47
2020-09-30,50.0,neutral,3363.0
2020-10-01,50.0,neutral,3380.8
2020-10-02,50.0,neutral,3348.44
2020-10-05,50.0,neutral,3408.63
2020-10-06,50.0,neutral,3360.95
2020-10-07,50.0,neutral,3419.45
2020-10-08,50.0,neutral,3446.83
2020-10-09,50.0,neutral,3477.13
2020-10-12,50.0,neutral,3534.22
2020-10-13,50.0,neutral,3511.93
2020-10-14,50.0,neutral,3488.67
2020-10-15,50.0,neutral,3483.34
2020-10-16,50.0,neutral,3483.81
2020-10-19,50.0,neutral,3426.92
2020-10-20,50.0,neutral,3443.12
2020-10-21,50.0,neutral,3435.56
2020-10-22,50.0,neutral,3453.49
2020-10-23,50.0,neutral,3465.39
2020-10-26,2.7,extreme fear,3400.97
2020-10-27,2.3000000000000003,extreme fear,3390.68
2020-10-28,0.30000000000000004,extreme fear,3271.03
2020-10-29,1.1,extreme fear,3310.11
2020-10-30,1.9000000000000001,extreme fear,3269.96
2020-11-02,2.8000000000000003,extreme fear,3310.24
2020-11-03,3.6,extreme fear,3369.16
2020-11-04,50.0,neutral,3443.44
2020-11-05,50.0,neutral,3510.45
2020-11-06,50.0,neutral,3509.44
2020-11-09,50.0,neutral,3550.5
2020-11-10,50.0,neutral,3545.53
2020-11-11,50.0,neutral,3572.66
2020-11-12,50.0,neutral,3537.01
2020-11-13,50.0,neutral,3585.15
2020-11-16,50.0,neutral,3626.91
2020-11-17,50.0,neutral,3609.53
2020-11-18,50.0,neutral,3567.79
2020-11-19,50.0,neutral,3581.87
2020-11-20,50.0,neutral,3557.54
2020-11-23,50.0,neutral,3577.59
2020-11-24,50.0,neutral,3635.41
2020-11-25,50.0,neutral,3629.65
2020-11-27,50.0,neutral,3638.35
2020-11-30,50.0,neutral,3621.63
2020-12-01,50.0,neutral,3662.45
2020-12-02,50.0,neutral,3669.01
2020-12-03,50.0,neutral,3666.72
2020-12-04,50.0,neutral,3699.12
2020-12-07,50.0,neutral,3691.96
2020-12-08,50.0,neutral,3702.25
2020-12-09,50.0,neutral,3672.82
2020-12-10,50.0,neutral,3668.1
2020-12-11,50.0,neutral,3663.46
2020-12-14,50.0,neutral,3647.49
2020-12-15,50.0,neutral,3694.62
2020-12-16,50.0,neutral,3701.17
2020-12-17,50.0,neutral,3722.48
2020-12-18,50.0,neutral,3709.41
2020-12-21,50.0,neutral,3694.92
2020-12-22,50.0,neutral,3687.26
2020-12-23,50.0,neutral,3690.01
2020-12-24,50.0,neutral,3703.06
2020-12-28,50.0,neutral,3735.36
2020-12-29,50.0,neutral,3727.04
2020-12-30,50.0,neutral,3732.04
2020-12-31,50.0,neutral,3756.07
2021-01-04,50.0,neutral,3700.65
2021-01-05,50.0,neutral,3726.86
2021-01-06,50.0,neutral,3748.14
2021-01-07,50.0,neutral,3803.79
