Token	ObservationDate	HoldValue	TradeValue	ASXCode	AvgHoldValue	MAAvgHoldKey	MAAvgHoldValue
BAUXITE	29/03/2016	99999.86	42597.9	4	24999.965	SM0	99999.86
BIO TECHNOLOGY	29/03/2016	99998.0843	722595.23	24	4166.586845	SM0	99998.0843
BIOTECH	29/03/2016	100000	54350	1	100000	SM0	100000
COBALT	29/03/2016	105951.5064	7530004.359	12	8829.2922	SM0	105951.5064
COKING COAL	29/03/2016	99999.93	1350	5	19999.986	SM0	99999.93
COPPER	29/03/2016	99997.86	1065077.9	23	4347.733043	SM0	99997.86
DIGITAL HEALTHCARE	29/03/2016	99999.942	573670.6	2	49999.971	SM0	99999.942
FINANCIAL TECHNOLOGY	29/03/2016	99992.138	952374	12	8332.678166	SM0	99992.138
GOLD	29/03/2016	99999.2441	846850.24	24	4166.63517	SM0	99999.2441
GRAPHENE	29/03/2016	99999.753	41997	2	49999.8765	SM0	99999.753
GRAPHITE	29/03/2016	99996.1858	2094706.62	23	4347.660252	SM0	99996.1858
JUNIOR GOLD	29/03/2016	99995.9054	2793380.8	24	4166.496058	SM0	99995.9054
LARGE GOLD	29/03/2016	99983.1531	95284237.71	14	7141.653792	SM0	99983.1531
LITHIUM	29/03/2016	99999.2228	1033738.84	23	4347.792295	SM0	99999.2228
MEDICAL CANNABIS	29/03/2016	99999.504	232116.8	6	16666.584	SM0	99999.504
MEMORY TECHNOLOGY	29/03/2016	100000	11594	1	100000	SM0	100000
MINING SERVICES	29/03/2016	99999.9637	28543.32	1	99999.9637	SM0	99999.9637
NICKEL	29/03/2016	99999.586	239362.25	12	8333.298833	SM0	99999.586
OIL & GAS	29/03/2016	99995.813	46432057.7	12	8332.984416	SM0	99995.813
POTASH PHOSPHATE	29/03/2016	99998.339	16166283	7	14285.477	SM0	99998.339
RENEWABLE ENERGY	29/03/2016	99999.9	1018368	1	99999.9	SM0	99999.9
SILVER	29/03/2016	99999.847	1138244.6	8	12499.98088	SM0	99999.847
STEM CELLS THERAPEUTICS	29/03/2016	99999.36	1676214	1	99999.36	SM0	99999.36
TIN	29/03/2016	99999.818	54127	7	14285.68829	SM0	99999.818
URANIUM	29/03/2016	99998.3858	1416458.08	19	5263.072936	SM0	99998.3858
VANADIUM	29/03/2016	99999.911	76678.3	3	33333.30367	SM0	99999.911
ZINC	29/03/2016	99999.6454	234397.87	17	5882.332082	SM0	99999.6454
BAUXITE	30/03/2016	102360.969	58345.7	4	25590.24225	SM0	102360.969
BIO TECHNOLOGY	30/03/2016	101318.0367	762317.63	24	4221.584862	SM0	101318.0367
BIOTECH	30/03/2016	96000	70464	1	96000	SM0	96000
COBALT	30/03/2016	103662.4175	2788435.5	12	8638.534791	SM0	103662.4175
COKING COAL	30/03/2016	101111.04	6971.5	5	20222.208	SM0	101111.04
COPPER	30/03/2016	99460.791	1374598.2	23	4324.382217	SM0	99460.791
DIGITAL HEALTHCARE	30/03/2016	96292.28	1189882	2	48146.14	SM0	96292.28
FINANCIAL TECHNOLOGY	30/03/2016	99574.986	718789.4	12	8297.9155	SM0	99574.986
GOLD	30/03/2016	100260.2621	705743.82	24	4177.51092	SM0	100260.2621
GRAPHENE	30/03/2016	99999.753	12232.2	2	49999.8765	SM0	99999.753
GRAPHITE	30/03/2016	100987.6222	3547719.65	23	4390.766182	SM0	100987.6222
JUNIOR GOLD	30/03/2016	100369.0404	2799642.85	24	4182.04335	SM0	100369.0404
LARGE GOLD	30/03/2016	104783.5772	129047825.8	14	7484.541228	SM0	104783.5772
LITHIUM	30/03/2016	101129.3398	1120121.71	23	4396.927817	SM0	101129.3398
MEDICAL CANNABIS	30/03/2016	99999.504	186972.9	6	16666.584	SM0	99999.504
MEMORY TECHNOLOGY	30/03/2016	95000	452.2	1	95000	SM0	95000
MINING SERVICES	30/03/2016	99999.9637	28543.32	1	99999.9637	SM0	99999.9637
NICKEL	30/03/2016	101486.4466	536758.48	12	8457.203883	SM0	101486.4466
OIL & GAS	30/03/2016	97061.978	35211143.7	12	8088.498166	SM0	97061.978
POTASH PHOSPHATE	30/03/2016	101235.159	19166384	7	14462.16557	SM0	101235.159
RENEWABLE ENERGY	30/03/2016	105128.1	4187596.5	1	105128.1	SM0	105128.1
SILVER	30/03/2016	100670.665	1996035.8	8	12583.83313	SM0	100670.665
STEM CELLS THERAPEUTICS	30/03/2016	99176.32	849284	1	99176.32	SM0	99176.32
TIN	30/03/2016	100571.246	26384	7	14367.32086	SM0	100571.246
URANIUM	30/03/2016	98470.3048	2029912.92	19	5182.647621	SM0	98470.3048
VANADIUM	30/03/2016	99579.743	127395.1	3	33193.24767	SM0	99579.743
ZINC	30/03/2016	99458.6284	1071084.2	17	5850.507552	SM0	99458.6284
BAUXITE	31/03/2016	99228.844	57473.1	4	24807.211	SM0	99228.844
BIO TECHNOLOGY	31/03/2016	103374.5247	674367.83	24	4307.271862	SM0	103374.5247
BIOTECH	31/03/2016	99000	68706	1	99000	SM0	99000
COBALT	31/03/2016	103767.4515	2843989	12	8647.287625	SM0	103767.4515
COKING COAL	31/03/2016	101111.04	6971.5	5	20222.208	SM0	101111.04
COPPER	31/03/2016	100358.121	3194909.6	23	4363.396565	SM0	100358.121
DIGITAL HEALTHCARE	31/03/2016	95454.492	1944470	2	47727.246	SM0	95454.492
FINANCIAL TECHNOLOGY	31/03/2016	99417.643	1089795.7	12	8284.803583	SM0	99417.643
GOLD	31/03/2016	100807.7056	2392876.14	24	4200.321066	SM0	100807.7056
GRAPHENE	31/03/2016	83333.087	2866.6	2	41666.5435	SM0	83333.087
GRAPHITE	31/03/2016	101562.7829	4550160.05	23	4415.773169	SM0	101562.7829
JUNIOR GOLD	31/03/2016	101638.9539	3015243.12	24	4234.956412	SM0	101638.9539
LARGE GOLD	31/03/2016	103294.7472	122668346.7	14	7378.196228	SM0	103294.7472
LITHIUM	31/03/2016	101602.7018	2854139.49	23	4417.508773	SM0	101602.7018
MEDICAL CANNABIS	31/03/2016	99424.792	151382.7	6	16570.79867	SM0	99424.792
MEMORY TECHNOLOGY	31/03/2016	100000	4000	1	100000	SM0	100000
MINING SERVICES	31/03/2016	94104.9263	274.89	1	94104.9263	SM0	94104.9263
NICKEL	31/03/2016	99093.6952	287571.98	12	8257.807933	SM0	99093.6952
OIL & GAS	31/03/2016	97440.275	32772369.1	12	8120.022916	SM0	97440.275
POTASH PHOSPHATE	31/03/2016	101523.235	24938367.6	7	14503.31929	SM0	101523.235
RENEWABLE ENERGY	31/03/2016	111111	2079935	1	111111	SM0	111111
SILVER	31/03/2016	101110.003	2092496.2	8	12638.75038	SM0	101110.003
STEM CELLS THERAPEUTICS	31/03/2016	105760.64	2396525	1	105760.64	SM0	105760.64
TIN	31/03/2016	99538.993	8775	7	14219.85614	SM0	99538.993
URANIUM	31/03/2016	99719.1688	2082103.26	19	5248.377305	SM0	99719.1688
VANADIUM	31/03/2016	103283.438	107710.8	3	34427.81267	SM0	103283.438
ZINC	31/03/2016	99645.0034	694479.96	17	5861.470788	SM0	99645.0034
BAUXITE	1/04/2016	98116.919	25646.8	4	24529.22975	SM0	98116.919
BIO TECHNOLOGY	1/04/2016	104011.2048	694761.23	24	4333.8002	SM0	104011.2048
BIOTECH	1/04/2016	96000	29232	1	96000	SM0	96000
COBALT	1/04/2016	103686.6235	2413325.1	12	8640.551958	SM0	103686.6235
COKING COAL	1/04/2016	102888.82	5740.8	5	20577.764	SM0	102888.82
COPPER	1/04/2016	101034.637	2582981.7	23	4392.810304	SM0	101034.637
DIGITAL HEALTHCARE	1/04/2016	91818.132	946429.5	2	45909.066	SM0	91818.132
FINANCIAL TECHNOLOGY	1/04/2016	98850.776	1093159.1	12	8237.564666	SM0	98850.776
GOLD	1/04/2016	101305.5421	1808530.36	24	4221.064254	SM0	101305.5421
GRAPHENE	1/04/2016	99999.753	64563.9	2	49999.8765	SM0	99999.753
GRAPHITE	1/04/2016	100313.8555	2435107.41	23	4361.471978	SM0	100313.8555
JUNIOR GOLD	1/04/2016	100908.5807	1686116.87	24	4204.524195	SM0	100908.5807
LARGE GOLD	1/04/2016	103873.7013	94826425.78	14	7419.550092	SM0	103873.7013
LITHIUM	1/04/2016	101466.9676	1471519.296	23	4411.607286	SM0	101466.9676
MEDICAL CANNABIS	1/04/2016	99560.846	180873.3	6	16593.47433	SM0	99560.846
MEMORY TECHNOLOGY	1/04/2016	100000	4000	1	100000	SM0	100000
MINING SERVICES	1/04/2016	91157.4076	3601.12	1	91157.4076	SM0	91157.4076
NICKEL	1/04/2016	97474.2652	3225868.38	12	8122.855433	SM0	97474.2652
OIL & GAS	1/04/2016	96430.811	37853448.1	12	8035.900916	SM0	96430.811
POTASH PHOSPHATE	1/04/2016	100641.59	39773854.8	7	14377.37	SM0	100641.59
RENEWABLE ENERGY	1/04/2016	112820.4	5651118	1	112820.4	SM0	112820.4
SILVER	1/04/2016	100647.043	1053369.3	8	12580.88038	SM0	100647.043
STEM CELLS THERAPEUTICS	1/04/2016	101233.92	3332808	1	101233.92	SM0	101233.92
TIN	1/04/2016	101579.809	23364.5	7	14511.40129	SM0	101579.809
URANIUM	1/04/2016	97194.4948	667561.06	19	5115.499726	SM0	97194.4948
VANADIUM	1/04/2016	102775.092	67187	3	34258.364	SM0	102775.092
ZINC	1/04/2016	97478.9714	660337.73	17	5734.057141	SM0	97478.9714
BAUXITE	4/04/2016	98295.315	63202.6	4	24573.82875	SM0	98295.315
BIO TECHNOLOGY	4/04/2016	104466.5158	556901.62	24	4352.771491	SM0	104466.5158
BIOTECH	4/04/2016	99000	29502	1	99000	SM0	99000
COBALT	4/04/2016	103814.3794	899395.34	12	8651.198283	SM0	103814.3794
COKING COAL	4/04/2016	102888.82	29846.8	5	20577.764	SM0	102888.82
COPPER	4/04/2016	102419.806	4159417.9	23	4453.035043	SM0	102419.806
DIGITAL HEALTHCARE	4/04/2016	91051.646	1237199	2	45525.823	SM0	91051.646
FINANCIAL TECHNOLOGY	4/04/2016	98393.482	1423685.3	12	8199.456833	SM0	98393.482
GOLD	4/04/2016	101294.3119	1235552.15	24	4220.596329	SM0	101294.3119
GRAPHENE	4/04/2016	99999.753	32980.8	2	49999.8765	SM0	99999.753
GRAPHITE	4/04/2016	104026.4078	1285548.5	23	4522.887295	SM0	104026.4078
JUNIOR GOLD	4/04/2016	102151.2105	998577.42	24	4256.300437	SM0	102151.2105
LARGE GOLD	4/04/2016	103678.0554	77770854.53	14	7405.575385	SM0	103678.0554
LITHIUM	4/04/2016	104683.8376	4164261.28	23	4551.4712	SM0	104683.8376
MEDICAL CANNABIS	4/04/2016	101934.756	382471	6	16989.126	SM0	101934.756
MEMORY TECHNOLOGY	4/04/2016	95000	36100	1	95000	SM0	95000
MINING SERVICES	4/04/2016	91157.4076	37076.32	1	91157.4076	SM0	91157.4076
NICKEL	4/04/2016	95446.534	1399337.6	12	7953.877833	SM0	95446.534
OIL & GAS	4/04/2016	93256.474	33389519.8	12	7771.372833	SM0	93256.474
POTASH PHOSPHATE	4/04/2016	101178.401	15596895.6	7	14454.05729	SM0	101178.401
RENEWABLE ENERGY	4/04/2016	111111	1421160	1	111111	SM0	111111
SILVER	4/04/2016	112778.571	2025257.2	8	14097.32138	SM0	112778.571
STEM CELLS THERAPEUTICS	4/04/2016	104114.56	1802372	1	104114.56	SM0	104114.56
TIN	4/04/2016	103620.625	120161.5	7	14802.94643	SM0	103620.625
URANIUM	4/04/2016	99156.0318	607945.28	19	5218.738515	SM0	99156.0318
VANADIUM	4/04/2016	102048.873	156001.5	3	34016.291	SM0	102048.873
ZINC	4/04/2016	96035.7184	1151389.45	17	5649.159905	SM0	96035.7184
BAUXITE	5/04/2016	100771.69	97267.6	4	25192.9225	SM0	100771.69
BIO TECHNOLOGY	5/04/2016	102773.199	435855.34	24	4282.216625	SM0	102773.199
BIOTECH	5/04/2016	96000	37728	1	96000	SM0	96000
COBALT	5/04/2016	104445.2125	558590.6	12	8703.767708	SM0	104445.2125
COKING COAL	5/04/2016	104555.485	12522.8	5	20911.097	SM0	104555.485
COPPER	5/04/2016	101843.603	4570851.064	23	4427.982739	SM0	101843.603
DIGITAL HEALTHCARE	5/04/2016	91818.132	1316179.5	2	45909.066	SM0	91818.132
FINANCIAL TECHNOLOGY	5/04/2016	98753.136	979626.8	12	8229.428	SM0	98753.136
GOLD	5/04/2016	104190.0989	1971960.65	24	4341.25412	SM0	104190.0989
GRAPHENE	5/04/2016	99999.753	32980.8	2	49999.8765	SM0	99999.753
GRAPHITE	5/04/2016	103050.0057	3887686.44	23	4480.43503	SM0	103050.0057
JUNIOR GOLD	5/04/2016	102681.7827	2878992.15	24	4278.407612	SM0	102681.7827
LARGE GOLD	5/04/2016	105596.3263	116073392.1	14	7542.594735	SM0	105596.3263
LITHIUM	5/04/2016	109920.8626	4543243.4	23	4779.167939	SM0	109920.8626
MEDICAL CANNABIS	5/04/2016	102509.468	305698	6	17084.91133	SM0	102509.468
MEMORY TECHNOLOGY	5/04/2016	90000	15139.8	1	90000	SM0	90000
MINING SERVICES	5/04/2016	91157.4076	37076.32	1	91157.4076	SM0	91157.4076
NICKEL	5/04/2016	96071.788	579126.7	12	8005.982333	SM0	96071.788
OIL & GAS	5/04/2016	91393.119	45852344.6	12	7616.09325	SM0	91393.119
POTASH PHOSPHATE	5/04/2016	101991.246	19753665	7	14570.178	SM0	101991.246
RENEWABLE ENERGY	5/04/2016	115384.5	2161552.5	1	115384.5	SM0	115384.5
SILVER	5/04/2016	111876.273	1651325.4	8	13984.53413	SM0	111876.273
STEM CELLS THERAPEUTICS	5/04/2016	102880	1148250	1	102880	SM0	102880
TIN	5/04/2016	102698.975	52973	7	14671.28214	SM0	102698.975
URANIUM	5/04/2016	99846.8438	1827377.58	19	5255.097042	SM0	99846.8438
VANADIUM	5/04/2016	104009.657	62333.2	3	34669.88567	SM0	104009.657
ZINC	5/04/2016	94701.8084	819044.04	17	5570.694611	SM0	94701.8084
BAUXITE	6/04/2016	99509.065	126444.6	4	24877.26625	SM0	99509.065
BIO TECHNOLOGY	6/04/2016	102266.2919	429076.06	24	4261.095495	SM0	102266.2919
BIOTECH	6/04/2016	96000	37968	1	96000	SM0	96000
COBALT	6/04/2016	105798.6065	849498.8	12	8816.550541	SM0	105798.6065
COKING COAL	6/04/2016	104555.485	11882	5	20911.097	SM0	104555.485
COPPER	6/04/2016	102206.856	4939244.464	23	4443.776347	SM0	102206.856
DIGITAL HEALTHCARE	6/04/2016	92798.524	398269.2	2	46399.262	SM0	92798.524
FINANCIAL TECHNOLOGY	6/04/2016	98728.633	1298945.2	12	8227.386083	SM0	98728.633
GOLD	6/04/2016	102979.1834	790622.62	24	4290.799308	SM0	102979.1834
